"","UP/DOWN","statistic","p.value","FDRp.value"
"P-hsa04961-26","UP",17.2794363532023,1.8790874363319e-112,1.76258401527932e-109
"P-hsa04961-17","UP",17.2794363532023,1.8790874363319e-112,1.76258401527932e-109
"P-hsa04919-39","UP",20.7487461090668,1.2618211779299e-95,7.89058843265498e-93
"P-hsa04915-58","UP",20.1047352680161,6.725914042032e-90,3.15445368571301e-87
"P-hsa05205-103","UP",19.7366907231722,1.04673097346455e-86,3.92733461243899e-84
"P-hsa04917-57","UP",19.6574980603502,5.00044429716205e-86,1.563472250246e-83
"P-hsa04915-40","UP",19.4328056576993,4.08536227657354e-84,1.09487709012171e-81
"P-hsa04930-26","UP",18.0867988394299,4.05922957205136e-73,9.51889334646044e-71
"P-hsa04930-7","UP",18.070154957752,5.48930742216882e-73,1.14421563599874e-70
"P-hsa05010-37","UP",17.8693545788,2.04837113387084e-71,3.8427442471417e-69
"P-hsa04930-9","UP",17.7571426023268,1.5212567016402e-70,2.59443415661547e-68
"P-hsa05321-74","UP",17.6962045194095,4.49606413184182e-70,6.48816639333481e-68
"P-hsa05321-81","UP",17.6962045194095,4.49606413184182e-70,6.48816639333481e-68
"P-hsa04914-34","UP",17.6545948152149,9.4027690906584e-70,1.25997105814823e-67
"P-hsa04914-39","UP",17.5442619866731,6.59576900245944e-69,8.24910843240927e-67
"P-hsa04152-41","UP",17.4331238090178,4.63551221086706e-68,5.11542406328624e-66
"P-hsa04922-67","UP",17.4331238090178,4.63551221086706e-68,5.11542406328624e-66
"P-hsa04213-53","DOWN",-17.3053417496847,4.29729977967766e-67,4.47874132593071e-65
"P-hsa04012-8","UP",17.063468565947,2.78211863773432e-65,2.74697608652084e-63
"P-hsa04010-58","DOWN",-16.9815914060802,1.12653933534412e-64,1.05669389655278e-62
"P-hsa05200-194","UP",16.9681689208562,1.41591931405536e-64,1.26488792055612e-62
"P-hsa05169-45","UP",16.8460243053172,1.12464024174068e-63,9.59011406138869e-62
"P-hsa04261-62","UP",16.8164948378242,1.85191391174701e-63,1.51051760801625e-61
"P-hsa04911-41","UP",16.6943502222852,1.44403563692742e-62,1.12875452286494e-60
"P-hsa03320-63","DOWN",-16.6299222932097,4.24091275235007e-62,3.18238092936349e-60
"P-hsa04010-14","UP",16.5746216540865,1.06567705596037e-61,7.68926983454482e-60
"P-hsa04961-13","UP",16.5705949085193,1.13946452377996e-61,7.91716832078226e-60
"P-hsa04151-99","UP",16.2632199968882,1.80417974738801e-59,1.20880043074996e-57
"P-hsa04213-52","DOWN",-16.1236261505579,1.74466129001142e-58,1.12861537243498e-56
"P-hsa04213-55","DOWN",-16.1169149079459,1.94480120131452e-58,1.21614901788868e-56
"P-hsa05130-55","DOWN",-15.935174458012,3.61967678620117e-57,2.19048827448819e-55
"P-hsa05200-197","UP",15.8339689194225,1.8179591872521e-56,1.06577857352654e-54
"P-hsa04010-62","DOWN",-15.8277945762195,2.0054048982099e-56,1.14004229970963e-54
"P-hsa04370-15","DOWN",-15.7579976530543,6.06489349338263e-56,3.34639417458406e-54
"P-hsa05215-13","UP",15.6855162328443,1.90414134292486e-55,1.02061975980773e-53
"P-hsa04213-13","UP",15.6471279251035,3.48288310479255e-55,1.81496908460856e-53
"P-hsa04010-61","DOWN",-15.6433696292408,3.69469385182287e-55,1.87330963946478e-53
"P-hsa04012-47","DOWN",-15.6302155937212,4.54222664494316e-55,2.21732547617394e-53
"P-hsa04970-39","DOWN",-15.6292760197555,4.60957854854924e-55,2.21732547617394e-53
"P-hsa05200-168","DOWN",-15.6216252031778,5.19758602449022e-55,2.43766784548591e-53
"P-hsa04724-3","UP",15.6135717120433,5.89721926808592e-55,2.69833740169005e-53
"P-hsa04919-103","UP",15.3937114040731,1.80756850420768e-53,8.07380598546098e-52
"P-hsa05210-21","DOWN",-15.3636450371712,2.87570658287922e-53,1.25461059290266e-51
"P-hsa05168-106 134","DOWN",-15.3217668832721,5.48229506014629e-53,2.33745125746237e-51
"P-hsa04725-54","DOWN",-15.2914320666657,8.73910602732533e-53,3.64323620161385e-51
"P-hsa04913-40","UP",15.2820363270089,1.00950610610282e-52,4.11702925010628e-51
"P-hsa04530-7 52","UP",15.2750566346924,1.1236168637759e-52,4.4849047583906e-51
"P-hsa05205-434","DOWN",-15.2696876406028,1.22005749005008e-52,4.76839135694573e-51
"P-hsa04310-34","DOWN",-15.258681202719,1.44428705086466e-52,5.52955613759614e-51
"P-hsa04012-40","DOWN",-15.2361314275426,2.03990828348773e-52,7.65373587964596e-51
"P-hsa04724-52","DOWN",-15.2066019600496,3.20369028448646e-52,1.17845548503855e-50
"P-hsa04012-48","DOWN",-15.1821730369418,4.65097438344773e-52,1.67792845064384e-50
"P-hsa04666-42","DOWN",-15.1781462913746,4.94543957911371e-52,1.75049899064478e-50
"P-hsa04010-65","DOWN",-15.1440531789055,8.31100006695089e-52,2.8873029862222e-50
"P-hsa04914-15","UP",14.949695592861,1.56778420152054e-50,5.34756938555008e-49
"P-hsa04014-67","DOWN",-14.9142602318695,2.66747110855621e-50,8.93602821366331e-49
"P-hsa05210-31","UP",14.8788248708779,4.53283827536695e-50,1.49186045694533e-48
"P-hsa04213-61","DOWN",-14.8254033796862,1.00575967131145e-49,3.2531123161729e-48
"P-hsa04510-44","UP",14.7397679239566,3.58725156857827e-49,1.1406243970598e-47
"P-hsa04012-43","DOWN",-14.7362780777983,3.77746804711634e-49,1.18108834273171e-47
"P-hsa04924-31","UP",14.6795009653005,8.74003684130689e-49,2.68791952693307e-47
"P-hsa04010-68","DOWN",-14.5572221249093,5.26534377413193e-48,1.59319111617282e-46
"P-hsa05169-93","DOWN",-14.5255450597805,8.36393354221066e-48,2.49059354368051e-46
"P-hsa04010-63","DOWN",-14.5048744325354,1.13064733340665e-47,3.31420999604824e-46
"P-hsa04914-42","UP",14.4874252017442,1.45779815531682e-47,4.20742975288362e-46
"P-hsa04530-20 62","UP",14.4740027165201,1.77218074027772e-47,5.03728949812274e-46
"P-hsa05166-64","DOWN",-14.4350775093703,3.1190216286011e-47,8.73326056008309e-46
"P-hsa04630-7","UP",14.4119908347849,4.35834902947694e-47,1.20239158519099e-45
"P-hsa04932-28","DOWN",-14.4106485862625,4.44388493124398e-47,1.20822146826286e-45
"P-hsa04071-59 60","UP",14.4004474974922,5.15095101187875e-47,1.3804548711835e-45
"P-hsa05120-50","DOWN",-14.3859512134502,6.35235109199798e-47,1.67845220402651e-45
"P-hsa03320-65","DOWN",-14.381387568474,6.78545010973779e-47,1.76798672303723e-45
"P-hsa04725-18","DOWN",-14.3789715211337,7.02650851298485e-47,1.80571643429583e-45
"P-hsa04010-64","DOWN",-14.3489051542318,1.08442037423203e-46,2.749152191972e-45
"P-hsa05120-19","DOWN",-14.3392409648705,1.24649488410546e-46,3.11789920344246e-45
"P-hsa05020-62","DOWN",-14.317228089103,1.7113113358296e-46,4.22423692896885e-45
"P-hsa05215-22","DOWN",-14.2795109056234,2.94203228623965e-46,7.16786047920205e-45
"P-hsa04152-78","DOWN",-14.2675648937739,3.49209194696527e-46,8.39892883654724e-45
"P-hsa04010-67","DOWN",-14.2066268108567,8.35043110419594e-46,1.98296313309767e-44
"P-hsa04012-35","DOWN",-14.1851508344982,1.13438874393972e-45,2.63737341966599e-44
"P-hsa04110-59 15 16 17 18 19 20","DOWN",-14.1848823847937,1.13873799036751e-45,2.63737341966599e-44
"P-hsa03320-47","DOWN",-14.181124088931,1.20139869601835e-45,2.74856579723222e-44
"P-hsa04610-45","UP",14.1483732249842,1.9149269690749e-45,4.32819637829458e-44
"P-hsa04933-19","UP",14.1472994261663,1.94438635872972e-45,4.34246286782971e-44
